scene,status,skip_reason,resolution,image_dir,ckpt_path,num_images,splat_count,psnr,ssim,lpips
000074a334c541878360457c672b6c2e,processed,,512,/project/ricky/splatformer-data-new/train-set/objaverse/512/colmap/000074a334c541878360457c672b6c2e/images,/project/ricky/splatformer-data-new/train-set/objaverse/512/nerfstudio/000074a334c541878360457c672b6c2e/splatfacto/nerfstudio_models/step-000010001.ckpt,128,55493,,,
000074a334c541878360457c672b6c2e,processed,,128,/project/ricky/splatformer-data-new/train-set/objaverse/128/colmap/000074a334c541878360457c672b6c2e/images,/project/ricky/splatformer-data-new/train-set/objaverse/128/nerfstudio/000074a334c541878360457c672b6c2e/splatfacto/nerfstudio_models/step-000010001.ckpt,128,34633,,,
0000ecca9a234cae994be239f6fec552,processed,,512,/project/ricky/splatformer-data-new/train-set/objaverse/512/colmap/0000ecca9a234cae994be239f6fec552/images,/project/ricky/splatformer-data-new/train-set/objaverse/512/nerfstudio/0000ecca9a234cae994be239f6fec552/splatfacto/nerfstudio_models/step-000010001.ckpt,128,50586,,,
0000ecca9a234cae994be239f6fec552,processed,,128,/project/ricky/splatformer-data-new/train-set/objaverse/128/colmap/0000ecca9a234cae994be239f6fec552/images,/project/ricky/splatformer-data-new/train-set/objaverse/128/nerfstudio/0000ecca9a234cae994be239f6fec552/splatfacto/nerfstudio_models/step-000010001.ckpt,128,42677,,,
00010d9634f645859d2e252d189b31d5,processed,,512,/project/ricky/splatformer-data-new/train-set/objaverse/512/colmap/00010d9634f645859d2e252d189b31d5/images,/project/ricky/splatformer-data-new/train-set/objaverse/512/nerfstudio/00010d9634f645859d2e252d189b31d5/splatfacto/nerfstudio_models/step-000010001.ckpt,128,104209,,,
00010d9634f645859d2e252d189b31d5,processed,,128,/project/ricky/splatformer-data-new/train-set/objaverse/128/colmap/00010d9634f645859d2e252d189b31d5/images,/project/ricky/splatformer-data-new/train-set/objaverse/128/nerfstudio/00010d9634f645859d2e252d189b31d5/splatfacto/nerfstudio_models/step-000010001.ckpt,128,52825,,,
0002064ef02e46f9a10b4bff10bae805,processed,,512,/project/ricky/splatformer-data-new/train-set/objaverse/512/colmap/0002064ef02e46f9a10b4bff10bae805/images,/project/ricky/splatformer-data-new/train-set/objaverse/512/nerfstudio/0002064ef02e46f9a10b4bff10bae805/splatfacto/nerfstudio_models/step-000010001.ckpt,128,151510,,,
0002064ef02e46f9a10b4bff10bae805,processed,,128,/project/ricky/splatformer-data-new/train-set/objaverse/128/colmap/0002064ef02e46f9a10b4bff10bae805/images,/project/ricky/splatformer-data-new/train-set/objaverse/128/nerfstudio/0002064ef02e46f9a10b4bff10bae805/splatfacto/nerfstudio_models/step-000010001.ckpt,128,57687,,,
0002c6eafa154e8bb08ebafb715a8d46,processed,,512,/project/ricky/splatformer-data-new/train-set/objaverse/512/colmap/0002c6eafa154e8bb08ebafb715a8d46/images,/project/ricky/splatformer-data-new/train-set/objaverse/512/nerfstudio/0002c6eafa154e8bb08ebafb715a8d46/splatfacto/nerfstudio_models/step-000010001.ckpt,128,80455,,,
0002c6eafa154e8bb08ebafb715a8d46,processed,,128,/project/ricky/splatformer-data-new/train-set/objaverse/128/colmap/0002c6eafa154e8bb08ebafb715a8d46/images,/project/ricky/splatformer-data-new/train-set/objaverse/128/nerfstudio/0002c6eafa154e8bb08ebafb715a8d46/splatfacto/nerfstudio_models/step-000010001.ckpt,128,53774,,,
